case,dataset_mode,model_name,negative_sampling,seed,deletion_rate,objective,score,history,method,label_count,query_count,single_query_count,multi_query_count,label_coverage,full_set_coverage,partial_answer_recall,mean_set_size,single_full_set_coverage,multi_full_set_coverage,single_mean_set_size,multi_mean_set_size,multi_minus_single_full_set_coverage
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,71,0.3,label,minmax,expanding,label_minmax_expanding,190310,173509,159915,13594,0.8772949398350061,0.8694015872375497,0.878036139813915,2532.131676166654,0.8783853922396273,0.7637192879211416,2589.637594972329,1855.6524201853758,-0.11466610431848567
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,71,0.3,label,minmax,rolling,label_minmax_rolling,190310,173509,159915,13594,0.8994114865219904,0.892795186416843,0.9002211515790063,3311.162654386804,0.9006409655129287,0.8005002206855966,3373.5886877403623,2576.804913932617,-0.10014074482733215
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,71,0.3,label,minmax,static,label_minmax_static,190310,173509,159915,13594,0.8523251536966003,0.8433164850238316,0.8527016116292466,1885.6500296814575,0.8526529718913173,0.7334853611887597,1935.2865209642623,1301.743931146094,-0.11916761070255755
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,71,0.3,label,negscore,expanding,label_negscore_expanding,190310,173509,159915,13594,0.8664389679995796,0.8577768300203448,0.8649080915639134,3835.119659498931,0.863296126066973,0.7928497866705899,3869.734190038458,3427.926585258202,-0.07044633939638312
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,71,0.3,label,negscore,rolling,label_negscore_rolling,190310,173509,159915,13594,0.8984131154432242,0.8918384637108161,0.8983907104153027,4684.290013774502,0.8981646499702968,0.8174194497572459,4746.40539036363,3953.5867294394584,-0.08074520021305087
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,71,0.3,label,negscore,static,label_negscore_static,190310,173509,159915,13594,0.8292207451000998,0.8185223821242702,0.8257733483590644,2140.1681584240587,0.8224681862239315,0.7721053405914374,2123.446324609949,2336.877887303222,-0.05036284563249405
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,71,0.3,label,softmax,expanding,label_softmax_expanding,190310,173509,159915,13594,0.937906573485366,0.9376804661429666,0.9429187013490997,7125.688748134103,0.9469968420723509,0.8280859202589378,7188.399437201013,6387.9824187141385,-0.11891092181341312
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,71,0.3,label,softmax,rolling,label_softmax_rolling,190310,173509,159915,13594,0.9882560033629342,0.9883982963419765,0.9894939167420711,9670.091171063172,0.9905199637307319,0.9634397528321318,9686.192789919645,9480.677431219656,-0.027080210898600132
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,71,0.3,label,softmax,static,label_softmax_static,190310,173509,159915,13594,0.8015501024644002,0.8008230120627748,0.8142712665153865,2481.808482557101,0.824194103117281,0.5258937766661762,2604.5746740455866,1037.6304987494482,-0.2983003264511048
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,71,0.3,query_max,margin,expanding,query_max_margin_expanding,190310,173509,159915,13594,0.8465240922705061,0.8463768450051582,0.8582694669904843,3176.9574316029716,0.8674420786042585,0.5985728998087392,3328.3191945721164,1396.3912755627482,-0.2688691787955193
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,71,0.3,query_max,margin,rolling,query_max_margin_rolling,190310,173509,159915,13594,0.8988702643056067,0.8990023572264263,0.9088093548166225,4498.912384948331,0.9164180971140918,0.694129763130793,4695.200475252478,2189.848830366338,-0.22228833398329884
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,71,0.3,query_max,margin,static,query_max_margin_static,190310,173509,159915,13594,0.796736902947822,0.796223827006092,0.8097019961962126,2481.209649067195,0.8197917643748242,0.5189789613064587,2603.588493887378,1041.5882742386348,-0.30081280306836544
icews05_15_distmult,icews05_15,temporal_distmult,filtered,17,0.3,label,margin,expanding,label_margin_expanding,190310,173509,159915,13594,0.8464820555935053,0.8467975724602183,0.8586915539984257,3423.7923277755044,0.8682049838976956,0.5949683683978225,3584.5771566144513,1532.3765631896424,-0.2732366154998731
icews05_15_distmult,icews05_15,temporal_distmult,filtered,17,0.3,label,margin,rolling,label_margin_rolling,190310,173509,159915,13594,0.9004046030161316,0.9009330928078658,0.9105643425626827,4831.664939570858,0.9183191070256074,0.6964101809621892,5034.016821436388,2451.269089304105,-0.22190892606341817
icews05_15_distmult,icews05_15,temporal_distmult,filtered,17,0.3,label,margin,static,label_margin_static,190310,173509,159915,13594,0.7952971467605485,0.7947541626082797,0.8084199702637364,2657.38214732377,0.8187787261982928,0.5121377078122701,2786.467010599381,1138.8735471531559,-0.30664101838602276
icews05_15_distmult,icews05_15,temporal_distmult,filtered,17,0.3,label,minmax,expanding,label_minmax_expanding,190310,173509,159915,13594,0.8792443907309128,0.8714533540046914,0.879320195615604,2532.0750393351354,0.8790982709564457,0.7815212593791379,2566.5904136572553,2126.048403707518,-0.0975770115773078
icews05_15_distmult,icews05_15,temporal_distmult,filtered,17,0.3,label,minmax,rolling,label_minmax_rolling,190310,173509,159915,13594,0.8991224843676108,0.8923629321821923,0.8992416474738717,3274.9158372188185,0.8990401150611262,0.8138149183463292,3312.6193665384735,2831.3848756804473,-0.085225196714797
