seed,deletion_rate,method,query_count,coverage,macro_time_coverage,positive_undercoverage,fraction_timestamps_below_target,mean_size,median_size,p90_size
17,0.3,rolling_count_2000,38596,0.8962586797,0.8968564712,0.009585531058,0.5753424658,3841.871593,4882.79985,7128
29,0.3,rolling_count_2000,38596,0.8965955021,0.8971225497,0.009618294497,0.4794520548,3800.879651,4525.85128,7128
43,0.3,rolling_count_2000,38596,0.8963104985,0.8961979208,0.01033639215,0.5890410959,3682.315758,3878.562986,7128
59,0.3,rolling_count_2000,38596,0.8958182195,0.8954930376,0.01048698974,0.5753424658,3769.768577,4500.773707,7128
71,0.3,rolling_count_2000,38596,0.8970100529,0.8980491721,0.008656366857,0.5890410959,3667.308452,3921.481656,7128
17,0.3,weighted_count_250,38596,0.9083324697,0.9067315955,0.009014752773,0.4109589041,4074.74956,5622.376127,7128
29,0.3,weighted_count_250,38596,0.9110270494,0.9098259361,0.007036192937,0.301369863,4038.664888,5360.509664,7128
43,0.3,weighted_count_250,38596,0.9092392994,0.9085675228,0.007405390594,0.397260274,3908.379728,5000.232122,7128
59,0.3,weighted_count_250,38596,0.9099647632,0.9088590724,0.006759798319,0.3287671233,3996.146673,5345.841512,7128
71,0.3,weighted_count_250,38596,0.9090061146,0.9083436045,0.006346081943,0.3835616438,3903.942533,4912.662893,7128
17,0.3,weighted_count_500,38596,0.8966732304,0.8970017682,0.01110415547,0.5342465753,3868.375479,4967.472121,7128
29,0.3,weighted_count_500,38596,0.8987978029,0.8982295686,0.01166556552,0.4657534247,3833.073116,4508.281609,7128
43,0.3,weighted_count_500,38596,0.8994973572,0.8996783044,0.01067784199,0.5205479452,3725.22777,4031.62307,7128
59,0.3,weighted_count_500,38596,0.8981759768,0.8973389514,0.01134693191,0.4520547945,3815.805394,4631.959814,7128
71,0.3,weighted_count_500,38596,0.8988237123,0.8988987738,0.009657351029,0.5753424658,3716.591616,4118.943492,7128
17,0.3,weighted_count_1000,38596,0.8985905275,0.8987916206,0.00827660102,0.5205479452,3879.863406,5153.059203,7128
29,0.3,weighted_count_1000,38596,0.8995750855,0.8993589925,0.009130787806,0.5068493151,3835.76096,4695.564774,7128
43,0.3,weighted_count_1000,38596,0.8987200746,0.8981919738,0.009558224881,0.5068493151,3710.972691,4137.58931,7128
59,0.3,weighted_count_1000,38596,0.8990828065,0.8982570978,0.009602470765,0.5068493151,3813.399161,4695.551016,7128
71,0.3,weighted_count_1000,38596,0.8980982485,0.8984234334,0.00815648571,0.6164383562,3690.606125,4138.260234,7128
17,0.3,weighted_count_2000,38596,0.8958182195,0.8964084356,0.009746229171,0.5890410959,3833.516504,4847.550264,7128
29,0.3,weighted_count_2000,38596,0.8963104985,0.8967524448,0.009741621668,0.4657534247,3796.634833,4513.299487,7128
43,0.3,weighted_count_2000,38596,0.8959995854,0.8958756869,0.01048882514,0.5890410959,3675.356203,3843.9423,7128
59,0.3,weighted_count_2000,38596,0.8954036688,0.8950755425,0.01074195366,0.5753424658,3761.283294,4448.811742,7128
71,0.3,weighted_count_2000,38596,0.8968286869,0.8978774795,0.008885215355,0.602739726,3663.267981,3924.180433,7128
17,0.3,time_window_3,38596,0.8961291326,0.8967744327,0.009540867169,0.5616438356,3835.526065,4870.367033,7128
29,0.3,time_window_3,38596,0.8964918644,0.8964160119,0.01049157019,0.4794520548,3792.917271,4466.419888,7128
43,0.3,time_window_3,38596,0.8963364079,0.8961950554,0.01087056771,0.5479452055,3680.926055,3960.165872,7128
59,0.3,time_window_3,38596,0.8957923101,0.8954230178,0.01062711379,0.5616438356,3769.839698,4561.573712,7128
71,0.3,time_window_3,38596,0.8965695927,0.8973401201,0.009595221239,0.5890410959,3668.039875,3959.773966,7128
17,0.3,time_window_7,38596,0.8925277231,0.8928810566,0.01206776648,0.6849315068,3785.384263,4664.75298,7128
29,0.3,time_window_7,38596,0.8939268318,0.8941389596,0.01118101654,0.5753424658,3754.811561,4259.692481,7128
43,0.3,time_window_7,38596,0.893201368,0.8928589507,0.0124997496,0.6301369863,3633.102498,3545.816639,7128
59,0.3,time_window_7,38596,0.8913358897,0.890908879,0.01343189175,0.698630137,3714.05086,4247.599311,7128
71,0.3,time_window_7,38596,0.8934604622,0.8942041661,0.01105437638,0.6712328767,3611.21111,3615.019613,7128
17,0.3,time_window_14,38596,0.8869312882,0.8872222465,0.01602851729,0.7534246575,3700.119002,4287.35343,7128
29,0.3,time_window_14,38596,0.889444502,0.889429969,0.0141919058,0.6575342466,3679.315654,3824.48746,7128
43,0.3,time_window_14,38596,0.8867499223,0.8865233126,0.01694831992,0.7534246575,3550.533397,3032.507047,7128
59,0.3,time_window_14,38596,0.8863094621,0.8855133611,0.01738683418,0.7671232877,3628.866126,3689.045678,7128
71,0.3,time_window_14,38596,0.8877862991,0.8881418938,0.01548086797,0.7534246575,3517.887527,3059.420743,7128
17,0.3,time_window_30,38596,0.8757643279,0.8753845033,0.02568163098,0.904109589,3510.938646,3130.364001,7128
29,0.3,time_window_30,38596,0.8799098352,0.8791671582,0.02251554708,0.8219178082,3531.158954,2973.460022,7128
43,0.3,time_window_30,38596,0.8754534149,0.8746362007,0.02672939612,0.8904109589,3382.697585,2037.840553,7128
59,0.3,time_window_30,38596,0.8751165924,0.8743143736,0.0269798829,0.8904109589,3446.897243,2589.685408,7128
71,0.3,time_window_30,38596,0.8765157011,0.8763763596,0.02505061347,0.8767123288,3319.988911,1882.73277,7128
